dist_x_mm_l,dist_y_mm_l,err_x_mm_l,err_y_mm_l,dist_x_mm_r,dist_y_mm_r,err_x_mm_r,err_y_mm_r
-0.06677265500794913,0.1601537475976938,0.0032602313177138584,0.22254509302767478,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.072992700729927,0.2294455066921606,0.016147594588860607,0.21063934191333122
-0.057233704292527825,0.15054452274183217,0.003026135537746657,0.20656559278573544,0.0,0.0,0.0,0.0
-0.08267090620031796,0.17937219730941706,0.0037109959488477004,0.25331452224707435,-0.14915899714376388,0.4397705544933078,0.03114336594558881,0.40625357985332966
0.0,0.0,0.0,0.0,-0.07616629641383688,0.2708731676226896,0.018870544411116033,0.24615920559746002
-0.06995230524642289,0.16335682254964767,0.0033389235774863016,0.22791666779185335,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.08251348778165661,0.21351179094964945,0.015351201382799053,0.20025068991281733
-0.07313195548489666,0.14093529788597053,0.0029833500868786888,0.20364503555658772,-0.08251348778165661,0.24219247928616952,0.017159361038870117,0.22383745746095646
-0.08585055643879173,0.18257527226137094,0.003790771707100912,0.2587600571836149,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.08886067914947635,0.25812619502868067,0.018308228121915206,0.23882399957326877
-0.06995230524642289,0.1601537475976938,0.003283684786894221,0.22414603908699474,0.0,0.0,0.0,0.0
-0.06041335453100159,0.16335682254964767,0.0032725209735331136,0.22338399135452486,-0.07616629641383688,0.2390057361376673,0.016823101593835082,0.21945107855947082
0.0,0.0,0.0,0.0,-0.06981910504601713,0.2294455066921606,0.016084350814875883,0.20981435049687297
-0.06995230524642289,0.19538757206918642,0.0038993695074169337,0.2661729997691971,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.072992700729927,0.18483110261312938,0.013327247117828806,0.1738489622691154
-0.06041335453100159,0.15695067264573992,-0.0945399228774574,-0.08774987347673811,-0.060298317994287524,0.21032504780114722,-0.09527492395887634,-0.09687782836199095
-0.06359300476947535,0.15054452274183217,-0.09186894719432039,-0.08527073269556233,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.05712472231037766,0.21669853409815168,-0.09758437592564402,-0.09922613452640576
-0.07313195548489666,0.18577834721332478,-0.11223522371130884,-0.10417426184138666,-0.06981910504601713,0.2390057361376673,-0.10842412153755092,-0.11024824791409243
-0.06041335453100159,0.1601537475976938,-0.0962225084252278,-0.08931161231083913,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.05395112662646778,0.21669853409815168,-0.0972412954104971,-0.09887728202797613
-0.05405405405405406,0.16655989750160155,-0.0984385008260502,-0.09136844763372837,0.0,0.0,0.0,0.0
-0.06041335453100159,0.16976297245355543,-0.10129461688692389,-0.09401943163443889,-0.04760393525864805,0.207138304652645,-0.09254908689232326,-0.09410613183888204
0.0,0.0,0.0,0.0,-0.06664550936210727,0.2390057361376673,-0.10804476535864263,-0.10986250945048368
-0.05405405405405406,0.16655989750160155,-0.0984385008260502,-0.09136844763372837,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.05712472231037766,0.22307202039515614,-0.10027050838319869,-0.10195745845055684
-0.06041335453100159,0.1729660474055093,-0.10299277072713248,-0.09559562061457473,-0.06347191367819739,0.22625876354365837,-0.10232704468483067,-0.10404859389912148
-0.06677265500794913,0.18577834721332478,-0.1109756411230739,-0.10300514503457073,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.072992700729927,0.24219247928616952,-0.11014759815150897,-0.11200072028200533
-0.06359300476947535,0.16335682254964767,-0.13671612966159374,0.0572635846901384,0.0,0.0,0.0,0.0
-0.06041335453100159,0.16976297245355543,-0.14053287075262766,0.058862227639201854,-0.06347191367819739,0.21669853409815168,-0.05541278268439224,-0.039629513916333195
0.0,0.0,0.0,0.0,-0.08886067914947635,0.25493945188017847,-0.06625451713629406,-0.047383188168462924
-0.07631160572337042,0.17937219730941706,-0.1520272171613939,0.06367663747266773,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.08251348778165661,0.26131293817718293,-0.06724809858111233,-0.04809376698777074
-0.06359300476947535,0.16335682254964767,-0.13671612966159374,0.0572635846901384,-0.07933989209774674,0.2390057361376673,-0.061800029387320043,-0.04419747585288518
-0.057233704292527825,0.17616912235746318,-0.1444641765921799,0.060508856061490174,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.07933989209774674,0.26449968132568513,-0.067766392933641,-0.048464435130774454
-0.05405405405405406,0.09288917360666239,-0.08381801016475533,0.035107194268217234,-0.08251348778165661,0.26131293817718293,-0.06724809858111233,-0.04809376698777074
-0.057233704292527825,0.1057014734144779,-0.09374610051134963,0.039265577363033995,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.07616629641383688,0.24219247928616952,-0.06230466931019802,-0.04455837876874007
0.006359300476947536,0.0032030749519538757,-0.0055532536679915685,0.002325981670999491,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.08568708346556649,0.2804333970681963,-0.07196018317656776,-0.051463704626783006
0.0,0.0032030749519538757,-0.00249809503428026,0.001046327722366086,-0.0952078705172961,0.2676864244741874,-0.06972243985070789,-0.049863339585048266
0.0,0.0,0.0,0.0,-0.06981910504601713,0.23581899298916506,0.4010828549181579,0.32970939893625223
-0.06041335453100159,0.1601537475976938,0.3906498463789614,0.2800694693468562,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.06347191367819739,0.2294455066921606,0.3882404696576713,0.3191523405299365
-0.057233704292527825,0.18577834721332478,0.44365528526141124,0.31807077736709266,-0.06981910504601713,0.25493945188017847,0.431073078245506,0.3543628050491652
-0.06359300476947535,0.18577834721332478,0.4481430307391896,0.32128818678418447,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.072992700729927,0.26449968132568513,0.44747841001089517,0.3678487768611988
-0.05087440381558029,0.15695067264573992,0.37654688285439725,0.26995860011919726,-0.04443033957473817,0.22625876354365837,0.37603699885647396,0.3091205005411145
-0.05405405405405406,0.15374759769378604,0.3719432377750357,0.266658098541149,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.07616629641383688,0.24537922243467175,0.4190072002976925,0.3444440730040781
-0.07313195548489666,0.16655989750160155,0.41515744986442077,0.29763976040612194,0.0,0.0,0.0,0.0
-0.06359300476947535,0.17616912235746318,0.42745341211226806,0.3064551321611203,-0.08251348778165661,0.27405991077119185,0.4667636236336078,0.3837021500830467
0.0,0.0,0.0,0.0,-0.07616629641383688,0.22307202039515614,0.3844145170373508,0.31600722344667986
-0.05087440381558029,0.15054452274183217,0.36266693195443145,0.260007615831998,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.07933989209774674,0.26449968132568513,-0.06662847002966484,-0.11928321112400925
-0.06359300476947535,0.18257527226137094,-0.10060058071072413,-0.06711024281617636,-0.06664550936210727,0.27405991077119185,-0.06805300500054952,-0.12183351890700227
-0.06677265500794913,0.18257527226137094,-0.10115686937818183,-0.06748134074906328,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0952078705172961,0.2676864244741874,-0.06855167130611511,-0.12272626818040938
-0.07313195548489666,0.17937219730941706,-0.10079534457045299,-0.06724016900373787,0.0,0.0,0.0,0.0
-0.06677265500794913,0.18257527226137094,-0.10115686937818183,-0.06748134074906328,-0.0952078705172961,0.2836201402166985,-0.0721854093608863,-0.12923165459200844
0.0,0.0,0.0,0.0,-0.072992700729927,0.2708731676226896,-0.06768834588840832,-0.12118067921486367
-0.06359300476947535,0.16655989750160155,-0.09277124823520543,-0.06188732660825209,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.07933989209774674,0.2676864244741874,-0.0673653179366905,-0.1206023707028033
-0.06677265500794913,0.1729660474055093,-0.09647622107476833,-0.0643588990895817,-0.07933989209774674,0.2708731676226896,-0.0681028746425007,-0.12192279922556419
-0.06041335453100159,0.1985906470211403,-0.1080119680322544,-0.0720543494926859,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.07933989209774674,0.25493945188017847,-0.06442242219679058,-0.11533378125894939
-0.057233704292527825,0.16976297245355543,-0.093220926661604,-0.062187305278072896,-0.072992700729927,0.2517527087316762,-0.06324520377541695,-0.11322623784044882
-0.0794912559618442,0.1985906470211403,-0.1113071049267297,-0.07425252206324646,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.09838146620120596,0.3123008285532186,-0.07900327052360763,-0.1414374935092909
-0.06359300476947535,0.16335682254964767,-0.06907827346953392,0.014018043038891877,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.09203427483338622,0.26449968132568513,-0.019337063496373683,-0.061888806648521505
0.03815580286168521,-0.009609224855861628,-0.015505202953742999,0.003146468367194837,-0.09203427483338622,0.2676864244741874,-0.01954501296709124,-0.06255435468213658
-0.034976152623211444,0.1057014734144779,-0.04387394462769917,0.008903332599189752,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.08251348778165661,0.26449968132568513,-0.019131103763999534,-0.061229626827517376
-0.0794912559618442,0.18257527226137094,-0.07846922306204196,0.015923746944793652,-0.07933989209774674,0.27405991077119185,-0.019700184157087648,-0.0630509843682784
-0.06677265500794913,0.1729660474055093,-0.07306177851778242,0.014826415084215484,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.06981910504601713,0.23581899298916506,-0.016981391530632023,-0.05434941335633583
-0.05405405405405406,0.1441383728379244,-0.06066200714568678,0.012310131453543715,0.0,0.0,0.0,0.0
-0.057233704292527825,0.15695067264573992,-0.06583204556129627,0.013359286526226618,-0.05712472231037766,0.21032504780114722,-0.015048544658870639,-0.048163283474201825
0.0,0.0,0.0,0.0,-0.06347191367819739,0.22625876354365837,-0.016225693623154538,-0.05193078129830194
-0.04133545310015898,0.11210762331838565,-0.047084512930511274,0.009554852713802511,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.08251348778165661,0.2836201402166985,-0.020395211714564307,-0.0652754392927882
-0.028616852146263912,0.06406149903907751,-0.02764837840757427,0.0056106810290196445,-0.08568708346556649,0.2676864244741874,-0.01940694638153889,-0.06211246875568898
-0.06359300476947535,0.1729660474055093,0.005666109460262974,0.23074657744973115,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.06664550936210727,0.24219247928616952,0.008720458829377341,0.2604486994562355
-0.05087440381558029,0.16976297245355543,0.005448921191518525,0.2219018048546235,0.0,0.0,0.0,0.0
-0.057233704292527825,0.1729660474055093,0.005601645018368922,0.22812132824856776,-0.05712472231037766,0.23263224984066283,0.008315967072900634,0.24836798742303057
0.0,0.0,0.0,0.0,-0.06981910504601713,0.24537922243467175,0.008856689201663217,0.26451741005765095
-0.06041335453100159,0.17937219730941706,0.005819432754237127,0.23699051353602987,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.05712472231037766,0.23581899298916506,0.008423447311967749,0.25157803508565735
-0.057233704292527825,0.17616912235746318,0.00569522605201383,0.2319323212022352,-0.060298317994287524,0.23581899298916506,0.008450064175272286,0.25237298493484617
-0.05087440381558029,0.18257527226137094,0.0058273689580290305,0.23731370740931595,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.06664550936210727,0.27724665391969405,0.009899051111228217,0.2956490063441169
-0.03179650238473768,0.13452914798206278,0.004250234342764466,0.173086495209835,-0.072992700729927,0.2995538559592097,0.01070356966420492,0.3196770781360866
