timestamp_sec,mouse_dx_L,mouse_dy_L,mouse_dx_R,mouse_dy_R,mouse_lat_mm,mouse_fwd_mm,mouse_rot_rad,mouse_x,mouse_y,mouse_theta,lidar_x_mm,lidar_y_mm,lidar_theta_rad,lidar_dx_mm,lidar_dy_mm,lidar_dtheta_rad,lidar_valid
0.0000,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
0.0001,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0102,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0202,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0303,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0399,,,,,,,,,,,-0.1007,-0.3040,-0.0008,-0.1007,-0.3040,-0.0008,1
0.0404,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0505,0,0,0,-1,0.0000,0.0016,0.0000,-0.0000,0.0016,0.0000,,,,,,,
0.0606,-1,-1,0,-1,-0.0016,0.0032,-0.0000,-0.0016,0.0047,0.0000,,,,,,,
0.0706,-1,-1,0,0,-0.0016,0.0016,-0.0000,-0.0032,0.0064,-0.0000,,,,,,,
0.0807,0,0,0,-1,0.0000,0.0016,0.0000,-0.0032,0.0079,0.0000,,,,,,,
0.0908,-1,0,0,0,-0.0016,0.0000,0.0000,-0.0048,0.0079,0.0000,,,,,,,
0.1009,-23,-12,-11,-29,-0.0535,0.0646,0.0004,-0.0583,0.0725,0.0004,,,,,,,
0.1110,0,0,-35,-62,-0.0540,0.0964,0.0014,-0.1124,0.1689,0.0018,,,,,,,
0.1211,-47,-27,0,0,-0.0747,0.0439,-0.0006,-0.1872,0.2127,0.0011,,,,,,,
0.1311,0,0,-58,-82,-0.0894,0.1275,0.0018,-0.2769,0.3400,0.0030,,,,,,,
0.1419,-55,-34,-66,-93,-0.1892,0.1999,0.0013,-0.4669,0.5392,0.0042,,,,,,,
0.1520,-62,-39,0,0,-0.0986,0.0634,-0.0009,-0.5657,0.6023,0.0033,,,,,,,
0.1621,0,0,-71,-112,-0.1095,0.1741,0.0025,-0.6760,0.7759,0.0058,,,,,,,
0.1722,-73,-47,-88,-131,-0.2518,0.2801,0.0018,-0.9296,1.0543,0.0076,,,,,,,
0.1823,-86,-59,0,0,-0.1368,0.0960,-0.0014,-1.0671,1.1494,0.0063,,,,,,,
0.1871,,,,,,,,,,,0.5442,0.8142,0.0015,0.6441,1.1187,0.0023,1
0.1924,0,0,-93,-137,-0.1434,0.2130,0.0030,-1.2121,1.3613,0.0093,,,,,,,
0.2034,-96,-63,0,0,-0.1527,0.1025,-0.0015,-1.3657,1.4624,0.0078,,,,,,,
0.2135,-111,-72,-107,-161,-0.3415,0.3674,0.0019,-1.7104,1.8269,0.0097,,,,,,,
0.2236,0,0,0,0,0.0000,0.0000,0.0000,-1.7104,1.8269,0.0097,,,,,,,
0.2337,-114,-83,0,0,-0.1813,0.1350,-0.0019,-1.8929,1.9603,0.0078,,,,,,,
0.2438,-120,-85,-123,-188,-0.3805,0.4306,0.0022,-2.2772,2.3875,0.0100,,,,,,,
0.2542,0,0,-128,-188,-0.1974,0.2923,0.0042,-2.4781,2.6774,0.0142,,,,,,,
0.2643,-126,-84,0,0,-0.2004,0.1367,-0.0020,-2.6803,2.8114,0.0122,,,,,,,
0.2744,0,0,-290,-431,-0.4472,0.6701,0.0096,-3.1388,3.4737,0.0218,,,,,,,
0.2845,-141,-102,-152,-234,-0.4586,0.5298,0.0028,-3.6096,3.9927,0.0246,,,,,,,
0.2946,-138,-104,0,0,-0.2195,0.1692,-0.0024,-3.8330,4.1567,0.0222,,,,,,,
0.3048,0,0,-157,-236,-0.2421,0.3669,0.0052,-4.0841,4.5175,0.0275,,,,,,,
0.3149,-147,-107,0,0,-0.2338,0.1741,-0.0025,-4.3224,4.6854,0.0250,,,,,,,
