timestamp_sec,mouse_dx_L,mouse_dy_L,mouse_dx_R,mouse_dy_R,mouse_lat_mm,mouse_fwd_mm,mouse_rot_rad,mouse_x,mouse_y,mouse_theta,lidar_x_mm,lidar_y_mm,lidar_theta_rad,lidar_dx_mm,lidar_dy_mm,lidar_dtheta_rad,lidar_valid
0.0000,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
0.0001,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0105,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0206,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0307,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0408,0,0,0,-1,0.0000,0.0016,0.0000,-0.0000,0.0016,0.0000,,,,,,,
0.0509,0,-1,0,-1,0.0000,0.0032,-0.0000,-0.0000,0.0047,0.0000,,,,,,,
0.0609,0,-1,0,0,0.0000,0.0016,-0.0000,-0.0000,0.0064,-0.0000,,,,,,,
0.0710,0,0,-1,-6,-0.0015,0.0093,0.0001,-0.0015,0.0157,0.0001,,,,,,,
0.0811,-3,-12,-5,-19,-0.0125,0.0491,0.0001,-0.0140,0.0648,0.0003,,,,,,,
0.0912,-4,-12,0,0,-0.0064,0.0195,-0.0003,-0.0204,0.0843,-0.0000,,,,,,,
0.1012,0,0,-3,-15,-0.0046,0.0233,0.0003,-0.0250,0.1076,0.0003,,,,,,,
0.1113,-4,-15,0,0,-0.0064,0.0244,-0.0003,-0.0314,0.1320,-0.0000,,,,,,,
0.1214,0,0,-7,-25,-0.0108,0.0389,0.0006,-0.0422,0.1709,0.0005,,,,,,,
0.1315,-8,-19,-5,-32,-0.0204,0.0807,0.0003,-0.0627,0.2515,0.0008,,,,,,,
0.1416,-10,-23,0,0,-0.0159,0.0374,-0.0005,-0.0786,0.2889,0.0003,,,,,,,
0.1425,,,,,,,,,,,-0.0047,-0.1771,0.0001,-0.0047,-0.1771,0.0001,1
0.1516,0,0,-13,-38,-0.0200,0.0591,0.0008,-0.0987,0.3480,0.0011,,,,,,,
0.1617,-11,-24,-13,-41,-0.0375,0.1028,0.0004,-0.1364,0.4507,0.0015,,,,,,,
0.1718,-13,-27,0,0,-0.0207,0.0439,-0.0006,-0.1571,0.4946,0.0008,,,,,,,
0.1819,0,0,-15,-42,-0.0231,0.0653,0.0009,-0.1803,0.5599,0.0018,,,,,,,
0.1919,-12,-29,0,0,-0.0191,0.0472,-0.0007,-0.1995,0.6070,0.0011,,,,,,,
0.2020,0,0,-15,-43,-0.0231,0.0669,0.0010,-0.2227,0.6739,0.0021,,,,,,,
0.2121,-13,-32,0,0,-0.0207,0.0521,-0.0007,-0.2435,0.7259,0.0013,,,,,,,
0.2223,-17,-37,0,0,-0.0270,0.0602,-0.0009,-0.2705,0.7861,0.0004,,,,,,,
0.2324,0,0,-17,-52,-0.0262,0.0808,0.0012,-0.2968,0.8669,0.0016,,,,,,,
0.2424,-14,-35,-18,-56,-0.0500,0.1440,0.0004,-0.3471,1.0108,0.0020,,,,,,,
0.2525,-16,-39,0,0,-0.0254,0.0634,-0.0009,-0.3727,1.0742,0.0011,,,,,,,
0.2626,0,0,-35,-111,-0.0540,0.1726,0.0025,-0.4270,1.2467,0.0036,,,,,,,
0.2727,-18,-34,0,0,-0.0286,0.0553,-0.0008,-0.4558,1.3019,0.0028,,,,,,,
0.2776,,,,,,,,,,,-0.1968,0.6027,0.0003,-0.1921,0.7797,0.0002,1
0.2827,0,0,-18,-55,-0.0278,0.0855,0.0012,-0.4839,1.3873,0.0040,,,,,,,
0.2928,-18,-41,-22,-63,-0.0626,0.1647,0.0004,-0.5471,1.5517,0.0045,,,,,,,
0.3029,-18,-44,0,0,-0.0286,0.0716,-0.0010,-0.5761,1.6231,0.0034,,,,,,,
0.3130,0,0,-22,-59,-0.0339,0.0917,0.0013,-0.6104,1.7147,0.0048,,,,,,,
