timestamp_sec,mouse_dx_L,mouse_dy_L,mouse_dx_R,mouse_dy_R,mouse_lat_mm,mouse_fwd_mm,mouse_rot_rad,mouse_x,mouse_y,mouse_theta,lidar_x_mm,lidar_y_mm,lidar_theta_rad,lidar_dx_mm,lidar_dy_mm,lidar_dtheta_rad,lidar_valid
0.0000,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
0.0001,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0102,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0203,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0304,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0404,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0503,,,,,,,,,,,0.1235,0.1878,0.0003,0.1235,0.1878,0.0003,1
0.0505,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0606,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0707,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0807,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0908,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.1009,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.1110,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.1210,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.1311,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.1412,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.1513,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.1613,0,0,0,-1,0.0000,0.0016,0.0000,-0.0000,0.0016,0.0000,,,,,,,
0.1714,0,0,0,0,0.0000,0.0000,0.0000,-0.0000,0.0016,0.0000,,,,,,,
0.1815,0,0,0,-1,0.0000,0.0016,0.0000,-0.0000,0.0031,0.0000,,,,,,,
0.1872,,,,,,,,,,,0.1389,0.0523,-0.0008,0.0154,-0.1355,-0.0011,1
0.1916,0,-1,0,-1,0.0000,0.0032,-0.0000,-0.0000,0.0063,0.0000,,,,,,,
0.2017,-1,0,0,0,-0.0016,0.0000,0.0000,-0.0016,0.0063,0.0000,,,,,,,
0.2118,0,0,-3,-18,-0.0046,0.0280,0.0004,-0.0062,0.0343,0.0004,,,,,,,
0.2219,-15,-16,0,0,-0.0239,0.0260,-0.0004,-0.0301,0.0603,0.0001,,,,,,,
0.2320,0,0,-36,-62,-0.0555,0.0964,0.0014,-0.0857,0.1567,0.0014,,,,,,,
0.2421,-37,-32,-28,-54,-0.1020,0.1360,0.0005,-0.1879,0.2925,0.0019,,,,,,,
0.2522,-25,-26,0,0,-0.0398,0.0423,-0.0006,-0.2277,0.3347,0.0013,,,,,,,
0.2622,0,0,-31,-53,-0.0478,0.0824,0.0012,-0.2757,0.4170,0.0025,,,,,,,
0.2723,-32,-29,-36,-62,-0.1064,0.1436,0.0007,-0.3825,0.5603,0.0032,,,,,,,
0.2824,-34,-32,0,0,-0.0541,0.0521,-0.0007,-0.4367,0.6122,0.0024,,,,,,,
0.2925,0,0,-32,-59,-0.0493,0.0917,0.0013,-0.4864,0.7038,0.0037,,,,,,,
0.3026,-31,-27,0,0,-0.0493,0.0439,-0.0006,-0.5358,0.7476,0.0031,,,,,,,
0.3127,-33,-27,-31,-55,-0.1003,0.1294,0.0006,-0.6365,0.8766,0.0037,,,,,,,
0.3228,0,0,-39,-64,-0.0601,0.0995,0.0014,-0.6971,0.9759,0.0051,,,,,,,
