timestamp_sec,mouse_dx_L,mouse_dy_L,mouse_dx_R,mouse_dy_R,mouse_lat_mm,mouse_fwd_mm,mouse_rot_rad,mouse_x,mouse_y,mouse_theta,lidar_x_mm,lidar_y_mm,lidar_theta_rad,lidar_dx_mm,lidar_dy_mm,lidar_dtheta_rad,lidar_valid
0.0000,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
0.0001,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0041,,,,,,,,,,,-0.4252,0.3061,0.0007,-0.4252,0.3061,0.0007,1
0.0102,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0203,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0303,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0404,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0505,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0606,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0706,0,0,0,-1,0.0000,0.0016,0.0000,-0.0000,0.0016,0.0000,,,,,,,
0.0807,-1,-1,0,-1,-0.0016,0.0032,-0.0000,-0.0016,0.0047,0.0000,,,,,,,
0.0908,0,-1,0,0,0.0000,0.0016,-0.0000,-0.0016,0.0064,-0.0000,,,,,,,
0.1009,0,0,-4,-22,-0.0062,0.0342,0.0005,-0.0078,0.0406,0.0005,,,,,,,
0.1110,0,-86,0,-121,0.0000,0.3280,0.0007,-0.0080,0.3686,0.0012,,,,,,,
0.1213,1,-150,0,0,0.0016,0.2440,-0.0035,-0.0063,0.6126,-0.0023,,,,,,,
0.1314,0,0,-2,-188,-0.0031,0.2923,0.0042,-0.0093,0.9049,0.0019,,,,,,,
0.1383,,,,,,,,,,,-0.0545,0.3771,0.0005,0.3708,0.0707,-0.0003,1
0.1415,-7,-203,0,0,-0.0111,0.3303,-0.0047,-0.0203,1.2352,-0.0029,,,,,,,
0.1516,0,0,-19,-268,-0.0293,0.4167,0.0060,-0.0496,1.6519,0.0031,,,,,,,
0.1617,-28,-215,-42,-286,-0.1093,0.7944,0.0014,-0.1619,2.4459,0.0045,,,,,,,
0.1718,-43,-229,0,0,-0.0684,0.3726,-0.0053,-0.2310,2.8183,-0.0009,,,,,,,
0.1818,0,0,-54,-315,-0.0833,0.4897,0.0070,-0.3156,3.3078,0.0061,,,,,,,
0.1919,-35,-226,-33,-296,-0.1065,0.8279,0.0013,-0.4277,4.1350,0.0075,,,,,,,
0.2021,-23,-256,0,0,-0.0366,0.4165,-0.0059,-0.4662,4.5513,0.0015,,,,,,,
0.2122,0,0,-27,-320,-0.0416,0.4975,0.0071,-0.5103,5.0486,0.0086,,,,,,,
0.2223,-28,-279,0,0,-0.0445,0.4539,-0.0065,-0.5573,5.5022,0.0021,,,,,,,
0.2325,-36,-307,-36,-340,-0.1128,1.0281,0.0004,-0.6724,6.5300,0.0025,,,,,,,
0.2426,0,0,-45,-365,-0.0694,0.5675,0.0081,-0.7456,7.0970,0.0106,,,,,,,
0.2527,-32,-298,0,0,-0.0509,0.4848,-0.0069,-0.7999,7.5815,0.0037,,,,,,,
0.2628,0,0,-37,-376,-0.0571,0.5846,0.0084,-0.8616,8.1656,0.0121,,,,,,,
0.2729,-30,-311,-41,-351,-0.1109,1.0517,0.0006,-0.9855,9.2158,0.0126,,,,,,,
0.2829,-25,-290,0,0,-0.0398,0.4718,-0.0067,-1.0297,9.6872,0.0059,,,,,,,
0.2902,,,,,,,,,,,-0.1663,6.4852,0.0059,-0.1090,6.1082,0.0054,1
0.2930,0,0,-26,-337,-0.0401,0.5240,0.0075,-1.0748,10.2107,0.0134,,,,,,,
0.3031,-25,-296,-31,-337,-0.0876,1.0055,0.0006,-1.1761,11.2149,0.0140,,,,,,,
