timestamp_sec,mouse_dx_L,mouse_dy_L,mouse_dx_R,mouse_dy_R,mouse_lat_mm,mouse_fwd_mm,mouse_rot_rad,mouse_x,mouse_y,mouse_theta,lidar_x_mm,lidar_y_mm,lidar_theta_rad,lidar_dx_mm,lidar_dy_mm,lidar_dtheta_rad,lidar_valid
0.0000,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
0.0001,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0077,,,,,,,,,,,0.4835,-0.0906,-0.0002,0.4835,-0.0906,-0.0002,1
0.0103,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0204,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0305,0,0,0,-1,0.0000,0.0016,0.0000,-0.0000,0.0016,0.0000,,,,,,,
0.0405,0,-1,0,0,0.0000,0.0016,-0.0000,-0.0000,0.0032,-0.0000,,,,,,,
0.0506,0,-1,0,-1,0.0000,0.0032,-0.0000,-0.0000,0.0064,-0.0000,,,,,,,
0.0607,0,0,1,-5,0.0015,0.0078,0.0001,0.0015,0.0141,0.0001,,,,,,,
0.0708,2,-35,0,0,0.0032,0.0569,-0.0008,0.0047,0.0711,-0.0007,,,,,,,
0.0809,0,0,1,-77,0.0015,0.1197,0.0017,0.0063,0.1908,0.0010,,,,,,,
0.0909,0,-111,1,-140,0.0015,0.3982,0.0005,0.0073,0.5890,0.0015,,,,,,,
0.1010,0,-159,0,0,0.0000,0.2587,-0.0037,0.0074,0.8477,-0.0022,,,,,,,
0.1111,0,0,-8,-201,-0.0123,0.3125,0.0045,-0.0050,1.1602,0.0023,,,,,,,
0.1212,-7,-191,0,0,-0.0111,0.3107,-0.0044,-0.0161,1.4709,-0.0021,,,,,,,
0.1315,-22,-210,-22,-221,-0.0689,0.6852,0.0000,-0.0836,2.1563,-0.0021,,,,,,,
0.1416,0,0,-32,-282,-0.0493,0.4384,0.0063,-0.1334,2.5947,0.0042,,,,,,,
0.1554,-22,-240,-20,-276,-0.0658,0.8196,0.0006,-0.2029,3.4140,0.0047,,,,,,,
0.1560,,,,,,,,,,,0.2055,0.3651,0.0007,-0.2781,0.4557,0.0009,1
0.1655,-23,-253,0,0,-0.0366,0.4116,-0.0059,-0.2402,3.8255,-0.0012,,,,,,,
0.1756,0,0,-31,-312,-0.0478,0.4851,0.0069,-0.2891,4.3105,0.0058,,,,,,,
0.1857,-25,-285,0,0,-0.0398,0.4637,-0.0066,-0.3300,4.7740,-0.0009,,,,,,,
0.1958,-23,-292,-26,-322,-0.0767,0.9757,0.0004,-0.4060,5.7498,-0.0005,,,,,,,
0.2059,0,0,-30,-318,-0.0463,0.4944,0.0071,-0.4537,6.2440,0.0066,,,,,,,
0.2159,-21,-281,0,0,-0.0334,0.4571,-0.0065,-0.4886,6.7011,0.0000,,,,,,,
0.2260,0,0,-26,-302,-0.0401,0.4695,0.0067,-0.5303,7.1705,0.0067,,,,,,,
0.2361,-6,-271,-4,-317,-0.0157,0.9337,0.0007,-0.5527,8.1041,0.0075,,,,,,,
0.2462,-5,-253,0,0,-0.0080,0.4116,-0.0059,-0.5625,8.5156,0.0016,,,,,,,
0.2563,0,0,-16,-359,-0.0247,0.5582,0.0080,-0.5903,9.0736,0.0096,,,,,,,
0.2664,-16,-298,0,0,-0.0254,0.4848,-0.0069,-0.6187,9.5583,0.0027,,,,,,,
0.2765,-15,-352,-24,-366,-0.0609,1.1417,-0.0001,-0.6826,10.6998,0.0026,,,,,,,
0.2873,0,0,-23,-367,-0.0355,0.5706,0.0082,-0.7218,11.2701,0.0108,,,,,,,
0.2933,,,,,,,,,,,1.0153,7.0334,0.0047,0.8144,6.6677,0.0040,1
0.2974,-22,-316,0,0,-0.0350,0.5141,-0.0073,-0.7605,11.7840,0.0034,,,,,,,
0.3075,-17,-329,-32,-372,-0.0764,1.1136,0.0006,-0.8410,12.8973,0.0040,,,,,,,
