timestamp_sec,mouse_dx_L,mouse_dy_L,mouse_dx_R,mouse_dy_R,mouse_lat_mm,mouse_fwd_mm,mouse_rot_rad,mouse_x,mouse_y,mouse_theta,lidar_x_mm,lidar_y_mm,lidar_theta_rad,lidar_dx_mm,lidar_dy_mm,lidar_dtheta_rad,lidar_valid
0.0000,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
0.0001,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0103,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0203,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0304,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0405,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0506,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0606,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0707,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0808,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0909,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.1007,,,,,,,,,,,0.1720,0.0846,0.0002,0.1720,0.0846,0.0002,1
0.1009,-1,0,0,-1,-0.0016,0.0016,0.0000,-0.0016,0.0016,0.0000,,,,,,,
0.1110,0,0,0,-1,0.0000,0.0016,0.0000,-0.0016,0.0031,0.0000,,,,,,,
0.1211,0,-1,0,0,0.0000,0.0016,-0.0000,-0.0016,0.0047,0.0000,,,,,,,
0.1312,-3,-2,-1,-8,-0.0063,0.0157,0.0001,-0.0079,0.0204,0.0002,,,,,,,
0.1413,0,0,-13,-20,-0.0200,0.0311,0.0004,-0.0280,0.0515,0.0006,,,,,,,
0.1514,-15,-10,0,0,-0.0239,0.0163,-0.0002,-0.0518,0.0678,0.0004,,,,,,,
0.1615,-16,-13,-18,-30,-0.0532,0.0678,0.0004,-0.1051,0.1355,0.0007,,,,,,,
0.1716,0,0,-19,-31,-0.0293,0.0482,0.0007,-0.1344,0.1837,0.0014,,,,,,,
0.1817,-19,-13,0,0,-0.0302,0.0211,-0.0003,-0.1647,0.2048,0.0011,,,,,,,
0.1918,0,0,-22,-33,-0.0339,0.0513,0.0007,-0.1987,0.2561,0.0018,,,,,,,
0.2019,-21,-17,0,0,-0.0334,0.0277,-0.0004,-0.2321,0.2837,0.0015,,,,,,,
0.2119,-20,-13,-22,-34,-0.0657,0.0740,0.0005,-0.2980,0.3576,0.0019,,,,,,,
0.2220,0,0,-21,-34,-0.0324,0.0529,0.0008,-0.3305,0.4104,0.0027,,,,,,,
0.2321,-19,-16,0,0,-0.0302,0.0260,-0.0004,-0.3607,0.4363,0.0023,,,,,,,
0.2422,-23,-16,-26,-38,-0.0767,0.0851,0.0005,-0.4376,0.5212,0.0028,,,,,,,
0.2483,,,,,,,,,,,-0.2720,0.5608,0.0006,-0.4439,0.4763,0.0004,1
0.2523,0,0,-33,-51,-0.0509,0.0793,0.0011,-0.4888,0.6004,0.0039,,,,,,,
0.2624,-31,-21,0,0,-0.0493,0.0342,-0.0005,-0.5382,0.6343,0.0034,,,,,,,
0.2724,0,0,-34,-48,-0.0524,0.0746,0.0011,-0.5909,0.7088,0.0045,,,,,,,
0.2825,-28,-19,0,0,-0.0445,0.0309,-0.0004,-0.6356,0.7395,0.0040,,,,,,,
0.2926,-24,-19,-30,-45,-0.0844,0.1009,0.0006,-0.7204,0.8400,0.0046,,,,,,,
0.3027,0,0,-31,-50,-0.0478,0.0777,0.0011,-0.7686,0.9175,0.0057,,,,,,,
0.3127,-32,-21,0,0,-0.0509,0.0342,-0.0005,-0.8197,0.9514,0.0052,,,,,,,
